[2025-03-15 03:23:55] | Webpage: / | Action: Visited Home Page | Username: 'Guest' | IP: 127.0.0.1
[2025-03-15 03:23:59] | Webpage: /includes/send/sendMoney.inc.php | Action: Unauthorized attempt to Money Transfer page. | Username: 'Guest' | IP: 127.0.0.1
[2025-03-15 03:23:59] | Webpage: /index.php | Action: Visited Home Page | Username: 'Guest' | IP: 127.0.0.1
[2025-03-15 03:24:09] | Webpage: /includes/login/login.inc.php | Action: Successfully logged in | Username: raja | IP: 127.0.0.1
[2025-03-15 03:24:09] | Webpage: /includes/profile/profile.inc.php | Action: Visited Profile Page | Username: raja | IP: 127.0.0.1
[2025-03-15 03:24:23] | Webpage: /includes/send/sendMoney.inc.php | Action: Accessed Money Transfer page | Username: raja | IP: 127.0.0.1
[2025-03-15 03:25:11] | Webpage: /includes/send/sendMoney.inc.php | Action: Accessed Money Transfer page | Username: raja | IP: 127.0.0.1
[2025-03-15 03:26:15] | Webpage: /includes/send/sendMoney.inc.php | Action: Accessed Money Transfer page | Username: raja | IP: 127.0.0.1
[2025-03-15 03:27:09] | Webpage: /includes/send/sendMoney.inc.php | Action: Accessed Money Transfer page | Username: raja | IP: 127.0.0.1
[2025-03-15 03:27:53] | Webpage: /includes/send/sendMoney.inc.php | Action: Accessed Money Transfer page | Username: raja | IP: 127.0.0.1
[2025-03-15 03:28:08] | Webpage: /includes/send/sendMoney.inc.php | Action: Accessed Money Transfer page | Username: raja | IP: 127.0.0.1
[2025-03-15 03:29:24] | Webpage: /includes/send/searchUsers.php?query=ra&type=userID | Action: Searched for 'ra' but found no results | Username: raja | IP: 127.0.0.1
[2025-03-15 03:29:26] | Webpage: /includes/send/searchUsers.php?query=12&type=userID | Action: Searched for '12' and found 3 results | Username: raja | IP: 127.0.0.1
[2025-03-15 03:31:09] | Webpage: /includes/send/sendMoney.inc.php | Action: Accessed Money Transfer page | Username: raja | IP: 127.0.0.1
[2025-03-15 03:37:20] | Webpage: /includes/send/searchUsers.php?query=ra&type=username | Action: Searched for 'ra' and found 3 results | Username: raja | IP: 127.0.0.1
[2025-03-15 03:37:20] | Webpage: /includes/send/searchUsers.php?query=raj&type=username | Action: Searched for 'raj' and found 3 results | Username: raja | IP: 127.0.0.1
[2025-03-15 03:47:19] | Webpage: /includes/send/searchUsers.php?query=ra&type=username | Action: Searched for 'ra' and found 3 results | Username: raja | IP: 127.0.0.1
[2025-03-15 03:47:19] | Webpage: /includes/send/searchUsers.php?query=raj&type=username | Action: Searched for 'raj' and found 3 results | Username: raja | IP: 127.0.0.1
[2025-03-15 03:47:23] | Webpage: /includes/send/sendMoney_contr.inc.php | Action: Transferred 10 from raja to raji | Username:  | IP: 127.0.0.1
[2025-03-15 03:47:23] | Webpage: /includes/send/sendMoney.inc.php | Action: Accessed Money Transfer page | Username: raja | IP: 127.0.0.1
[2025-03-15 03:57:30] | Webpage: /includes/send/searchUsers.php?query=123&type=username | Action: Searched for '123' but found no results | Username: raja | IP: 127.0.0.1
[2025-03-15 03:57:31] | Webpage: /includes/send/searchUsers.php?query=12&type=username | Action: Searched for '12' but found no results | Username: raja | IP: 127.0.0.1
[2025-03-15 03:57:33] | Webpage: /includes/send/searchUsers.php?query=ra&type=username | Action: Searched for 'ra' and found 3 results | Username: raja | IP: 127.0.0.1
[2025-03-15 03:57:33] | Webpage: /includes/send/searchUsers.php?query=raj&type=username | Action: Searched for 'raj' and found 3 results | Username: raja | IP: 127.0.0.1
[2025-03-15 04:04:34] | Webpage: /includes/send/searchUsers.php?query=12&type=userID | Action: Searched for '12' and found 3 results | Username: raja | IP: 127.0.0.1
[2025-03-15 04:04:35] | Webpage: /includes/send/searchUsers.php?query=123&type=userID | Action: Searched for '123' and found 3 results | Username: raja | IP: 127.0.0.1
[2025-03-15 04:04:41] | Webpage: /includes/send/sendMoney_contr.inc.php | Action: Failed CSRF check during money transfer | Username: raja | IP: 127.0.0.1
[2025-03-15 04:07:49] | Webpage: /includes/send/sendMoney.inc.php | Action: Accessed Money Transfer page | Username: raja | IP: 127.0.0.1
[2025-03-15 04:07:53] | Webpage: /includes/send/searchUsers.php?query=ra&type=username | Action: Searched for 'ra' and found 3 results | Username: raja | IP: 127.0.0.1
[2025-03-15 04:07:53] | Webpage: /includes/send/searchUsers.php?query=raj&type=username | Action: Searched for 'raj' and found 3 results | Username: raja | IP: 127.0.0.1
[2025-03-15 04:07:58] | Webpage: /includes/send/sendMoney_contr.inc.php | Action: Transferred 2 from raja to raji | Username:  | IP: 127.0.0.1
[2025-03-15 04:07:58] | Webpage: /includes/send/sendMoney.inc.php | Action: Accessed Money Transfer page | Username: raja | IP: 127.0.0.1
[2025-03-15 04:08:01] | Webpage: /includes/send/sendMoney.inc.php | Action: Accessed Money Transfer page | Username: raja | IP: 127.0.0.1
[2025-03-15 04:08:05] | Webpage: /includes/send/searchUsers.php?query=12&type=userID | Action: Searched for '12' and found 3 results | Username: raja | IP: 127.0.0.1
[2025-03-15 04:08:08] | Webpage: /includes/send/sendMoney_contr.inc.php | Action: Transferred 2 from raja to 123 | Username:  | IP: 127.0.0.1
[2025-03-15 04:08:08] | Webpage: /includes/send/sendMoney.inc.php | Action: Accessed Money Transfer page | Username: raja | IP: 127.0.0.1
[2025-03-15 04:08:13] | Webpage: /includes/history/history.inc.php | Action: Accessed transaction history | Username: raja | IP: 127.0.0.1
[2025-03-15 04:08:16] | Webpage: /includes/send/sendMoney.inc.php | Action: Accessed Money Transfer page | Username: raja | IP: 127.0.0.1
[2025-03-15 04:08:25] | Webpage: /includes/send/searchUsers.php?query=ra&type=username | Action: Searched for 'ra' and found 3 results | Username: raja | IP: 127.0.0.1
[2025-03-15 04:08:29] | Webpage: /includes/send/sendMoney_contr.inc.php | Action: Transferred 5 from raja to Raja | Username:  | IP: 127.0.0.1
[2025-03-15 04:08:29] | Webpage: /includes/send/sendMoney.inc.php | Action: Accessed Money Transfer page | Username: raja | IP: 127.0.0.1
[2025-03-15 04:08:34] | Webpage: /includes/send/searchUsers.php?query=12&type=userID | Action: Searched for '12' and found 3 results | Username: raja | IP: 127.0.0.1
[2025-03-15 04:08:39] | Webpage: /includes/send/sendMoney_contr.inc.php | Action: Transferred 3 from raja to 1234 | Username:  | IP: 127.0.0.1
[2025-03-15 04:08:39] | Webpage: /includes/send/sendMoney.inc.php | Action: Accessed Money Transfer page | Username: raja | IP: 127.0.0.1
